day,K,timestamp,residual_bp,z,direction
2,5200,58200,15.1,2.18,rich
2,5300,58200,14.2,2.77,rich
2,5400,58200,-3.5,2.57,cheap
2,5500,58200,0.1,2.62,rich
2,6500,58200,-12.6,-2.67,cheap
2,5000,61400,-17.0,-2.68,cheap
2,5500,61400,-0.8,2.52,cheap
2,6000,61400,16.6,2.84,rich
2,4000,62100,27.7,2.44,rich
2,4500,62100,-67.2,-2.3,cheap
2,5200,62100,14.5,2.1,rich
2,5300,62100,13.5,2.69,rich
2,5400,62100,-2.7,2.68,cheap
2,5500,62100,0.7,2.68,rich
2,6500,62100,-12.7,-2.69,cheap
2,4000,63100,27.6,2.43,rich
2,4500,63100,-67.1,-2.3,cheap
2,5200,63100,14.6,2.12,rich
2,5300,63100,13.2,2.64,rich
2,5400,63100,-2.8,2.67,cheap
2,5500,63100,0.7,2.69,rich
2,6500,63100,-12.7,-2.69,cheap
2,5500,63300,-5.0,2.03,cheap
2,6000,63300,11.4,2.08,rich
2,5000,65300,-17.1,-2.69,cheap
2,5500,65300,-2.2,2.36,cheap
2,6000,65300,16.8,2.87,rich
2,4000,65600,27.7,2.44,rich
2,4500,65600,-68.0,-2.32,cheap
2,5200,65600,15.4,2.22,rich
2,5300,65600,13.9,2.74,rich
2,5400,65600,-3.4,2.59,cheap
2,5500,65600,-0.9,2.51,cheap
2,6500,65600,-12.3,-2.65,cheap
2,5000,65900,-11.0,-2.09,cheap
2,6000,65900,11.8,2.13,rich
2,4000,66300,27.8,2.44,rich
2,4500,66300,-67.8,-2.31,cheap
2,5200,66300,14.6,2.12,rich
2,5300,66300,14.7,2.85,rich
2,5400,66300,-2.9,2.65,cheap
2,5500,66300,-0.6,2.54,cheap
2,6500,66300,-12.5,-2.66,cheap
2,4000,67000,27.8,2.44,rich
2,4500,67000,-68.2,-2.32,cheap
2,5200,67000,14.9,2.16,rich
2,5300,67000,14.5,2.81,rich
2,5400,67000,-2.7,2.67,cheap
2,5500,67000,-1.5,2.44,cheap
2,6500,67000,-12.2,-2.64,cheap
2,4000,67100,28.0,2.45,rich
2,4500,67100,-67.9,-2.32,cheap
2,5200,67100,15.0,2.17,rich
2,5300,67100,14.0,2.75,rich
2,5400,67100,-2.9,2.64,cheap
2,5500,67100,1.1,2.73,rich
2,6500,67100,-12.7,-2.68,cheap
2,5000,69200,-10.7,-2.06,cheap
2,6000,69200,11.8,2.13,rich
2,5000,70500,-10.7,-2.06,cheap
2,6000,70500,11.8,2.13,rich
2,4000,70800,27.7,2.44,rich
2,4500,70800,-68.4,-2.33,cheap
2,5200,70800,15.7,2.26,rich
2,5300,70800,13.7,2.71,rich
2,5400,70800,-3.2,2.61,cheap
2,5500,70800,-1.8,2.4,cheap
2,6500,70800,-12.1,-2.63,cheap
2,4000,71200,27.7,2.44,rich
2,4500,71200,-68.1,-2.32,cheap
2,5200,71200,14.2,2.06,rich
2,5300,71200,13.3,2.65,rich
2,5400,71200,-2.2,2.74,cheap
2,5500,71200,-1.1,2.48,cheap
2,6500,71200,-12.3,-2.65,cheap
2,6000,71300,11.0,2.01,rich
2,5500,72300,-4.6,2.08,cheap
2,6000,72300,11.7,2.12,rich
2,5500,72400,-5.1,2.03,cheap
2,6000,72800,11.1,2.03,rich
2,4000,73200,27.7,2.44,rich
2,4500,73200,-67.7,-2.31,cheap
2,5200,73200,15.5,2.24,rich
2,5300,73200,14.1,2.76,rich
2,5400,73200,-2.6,2.68,cheap
2,5500,73200,-1.2,2.48,cheap
2,6500,73200,-12.5,-2.66,cheap
2,4000,73500,27.8,2.44,rich
2,4500,73500,-68.3,-2.32,cheap
2,5200,73500,14.9,2.16,rich
2,5300,73500,14.5,2.82,rich
2,5400,73500,-2.7,2.67,cheap
2,5500,73500,-1.5,2.44,cheap
2,6500,73500,-12.2,-2.64,cheap
2,4000,73900,27.7,2.44,rich
2,4500,73900,-67.7,-2.31,cheap
2,5200,73900,15.5,2.24,rich
2,5300,73900,14.1,2.76,rich
2,5400,73900,-2.6,2.68,cheap
2,5500,73900,-1.2,2.48,cheap
2,6500,73900,-12.5,-2.67,cheap
2,4000,76500,27.8,2.44,rich
2,4500,76500,-68.3,-2.32,cheap
2,5200,76500,14.9,2.16,rich
2,5300,76500,14.5,2.82,rich
2,5400,76500,-2.7,2.67,cheap
2,5500,76500,-1.5,2.44,cheap
2,6500,76500,-12.2,-2.64,cheap
2,5000,78800,-14.3,-2.41,cheap
2,5500,78800,-4.1,2.13,cheap
2,6000,78800,16.3,2.79,rich
2,4000,79800,27.8,2.44,rich
2,4500,79800,-68.6,-2.33,cheap
2,5200,79800,14.5,2.1,rich
2,5300,79800,13.1,2.62,rich
2,5400,79800,-2.1,2.75,cheap
2,5500,79800,-2.0,2.38,cheap
2,6500,79800,-12.1,-2.63,cheap
2,6000,79900,11.5,2.08,rich
2,5500,82100,-4.0,2.15,cheap
2,5500,84400,-5.0,2.04,cheap
2,5500,84600,-5.2,2.02,cheap
2,6000,94500,11.0,2.01,rich
2,5500,99300,-5.0,2.04,cheap
2,5000,100800,-16.8,-2.66,cheap
2,5500,100800,0.5,2.66,rich
2,6000,100800,15.7,2.7,rich
2,5500,101200,-3.3,2.23,cheap
2,6000,101200,12.1,2.18,rich
2,5500,108000,-5.2,2.01,cheap
2,4000,111000,28.0,2.45,rich
2,4500,111000,-68.6,-2.33,cheap
2,5200,111000,16.1,2.32,rich
2,5300,111000,15.1,2.9,rich
2,5400,111000,-3.4,2.59,cheap
2,5500,111000,-1.7,2.41,cheap
2,6500,111000,-12.4,-2.66,cheap
2,4000,112300,28.0,2.45,rich
2,4500,112300,-68.6,-2.33,cheap
2,5200,112300,16.1,2.32,rich
2,5300,112300,15.1,2.9,rich
2,5400,112300,-3.4,2.59,cheap
2,5500,112300,-1.7,2.41,cheap
2,6500,112300,-12.4,-2.66,cheap
2,6000,112600,12.2,2.18,rich
2,6000,114800,11.3,2.05,rich
2,4000,119600,27.9,2.45,rich
2,4500,119600,-68.3,-2.32,cheap
2,5200,119600,16.3,2.34,rich
2,5300,119600,13.8,2.72,rich
2,5400,119600,-3.7,2.54,cheap
2,5500,119600,0.0,2.61,rich
2,6500,119600,-12.6,-2.68,cheap
2,4000,121100,28.2,2.46,rich
2,4500,121100,-67.9,-2.31,cheap
2,5200,121100,17.2,2.48,rich
2,5300,121100,15.2,2.91,rich
2,5400,121100,-1.9,2.78,cheap
2,5500,121100,-0.6,2.54,cheap
2,6500,121100,-13.0,-2.72,cheap
2,4000,123000,28.6,2.48,rich
2,4500,123000,-69.0,-2.34,cheap
2,5200,123000,17.1,2.45,rich
2,5300,123000,14.0,2.74,rich
2,5400,123000,-2.4,2.71,cheap
2,5500,123000,2.0,2.84,rich
2,6500,123000,-13.0,-2.71,cheap
2,5000,123500,-17.7,-2.75,cheap
2,5500,123500,-0.5,2.55,cheap
2,6000,123500,15.8,2.72,rich
2,4000,128700,28.1,2.46,rich
2,4500,128700,-67.9,-2.32,cheap
2,5200,128700,16.3,2.34,rich
2,5300,128700,14.8,2.85,rich
2,5400,128700,-2.1,2.76,cheap
2,5500,128700,-0.7,2.53,cheap
2,6500,128700,-13.0,-2.71,cheap
2,6000,129300,11.9,2.14,rich
2,4000,129400,28.2,2.46,rich
2,4500,129400,-67.9,-2.31,cheap
2,5200,129400,17.5,2.51,rich
2,5300,129400,15.4,2.95,rich
2,5400,129400,-3.2,2.61,cheap
2,5500,129400,-0.4,2.56,cheap
2,6500,129400,-13.0,-2.71,cheap
2,4000,129900,28.0,2.45,rich
2,4500,129900,-68.1,-2.32,cheap
2,5200,129900,16.5,2.37,rich
2,5300,129900,14.5,2.81,rich
2,5400,129900,-4.2,2.48,cheap
2,5500,129900,-0.1,2.59,cheap
2,6500,129900,-12.8,-2.69,cheap
2,5000,130000,-10.7,-2.06,cheap
2,6000,130000,12.0,2.17,rich
2,5000,132400,-11.0,-2.1,cheap
2,6000,132400,12.5,2.23,rich
2,4000,133700,28.0,2.45,rich
2,4500,133700,-67.5,-2.31,cheap
2,5200,133700,17.3,2.48,rich
2,5300,133700,14.7,2.85,rich
2,5400,133700,-3.8,2.54,cheap
2,5500,133700,0.4,2.65,rich
2,6500,133700,-13.1,-2.73,cheap
2,5000,134300,-10.9,-2.08,cheap
2,6000,134300,12.5,2.24,rich
2,6000,134700,11.9,2.15,rich
2,6000,135200,11.6,2.1,rich
2,4000,135600,28.1,2.46,rich
2,4500,135600,-67.7,-2.31,cheap
2,5200,135600,15.7,2.27,rich
2,5300,135600,15.8,2.99,rich
2,5400,135600,-2.9,2.65,cheap
2,5500,135600,-0.1,2.59,cheap
2,6500,135600,-13.1,-2.72,cheap
2,6000,138300,12.0,2.16,rich
2,5000,138400,-10.6,-2.06,cheap
2,6000,138400,12.5,2.23,rich
2,6000,140500,11.8,2.14,rich
2,5000,143800,-16.6,-2.64,cheap
2,5500,143800,-0.6,2.54,cheap
2,6000,143800,16.1,2.76,rich
2,5000,144300,-18.4,-2.82,cheap
2,5500,144300,-0.1,2.6,cheap
2,6000,144300,15.9,2.74,rich
2,5000,149300,-16.9,-2.67,cheap
2,5500,149300,-1.2,2.47,cheap
2,6000,149300,15.9,2.74,rich
2,5500,154600,-3.7,2.19,cheap
2,5500,156200,-5.2,2.02,cheap
2,5000,156600,-10.2,-2.01,cheap
2,5500,157300,-3.8,2.17,cheap
2,5500,157400,-3.8,2.18,cheap
2,5000,157600,-10.8,-2.07,cheap
2,5500,157600,-5.0,2.04,cheap
2,5500,157900,-5.0,2.04,cheap
2,5500,160300,-5.2,2.01,cheap
2,5000,160400,-18.5,-2.82,cheap
2,5500,160400,1.1,2.74,rich
2,6000,160400,15.1,2.63,rich
2,5500,161000,-4.7,2.07,cheap
2,5500,163200,-4.4,2.11,cheap
2,4000,164300,29.5,2.52,rich
2,4500,164300,-72.0,-2.39,cheap
2,5200,164300,15.0,2.17,rich
2,5300,164300,14.7,2.85,rich
2,5400,164300,-2.6,2.69,cheap
2,5500,164300,2.2,2.86,rich
2,6500,164300,-12.3,-2.65,cheap
2,5500,165700,-4.3,2.12,cheap
2,5500,166000,-5.0,2.04,cheap
2,6000,168600,11.5,2.09,rich
2,5500,171200,-5.2,2.01,cheap
2,5500,171400,-4.7,2.07,cheap
2,5500,173300,-5.2,2.02,cheap
2,5500,176800,-5.1,2.02,cheap
2,5500,178100,-4.9,2.04,cheap
2,5500,179200,-3.6,2.2,cheap
2,5500,181200,-4.8,2.06,cheap
2,5500,183900,-5.3,2.01,cheap
2,4000,184500,28.8,2.49,rich
2,4500,184500,-69.5,-2.34,cheap
2,5200,184500,14.8,2.14,rich
2,5300,184500,14.3,2.79,rich
2,5400,184500,-2.9,2.65,cheap
2,5500,184500,2.8,2.93,rich
2,6500,184500,-13.2,-2.73,cheap
2,5500,186300,-4.0,2.15,cheap
2,6000,186300,11.5,2.09,rich
2,4000,188000,28.8,2.49,rich
2,4500,188000,-69.0,-2.34,cheap
2,5200,188000,14.7,2.13,rich
2,5300,188000,13.7,2.71,rich
2,5400,188000,-2.9,2.65,cheap
2,5500,188000,3.9,3.06,rich
2,6500,188000,-13.5,-2.75,cheap
2,5500,192400,-4.7,2.08,cheap
2,6000,192400,10.9,2.0,rich
2,4000,193400,28.9,2.49,rich
2,4500,193400,-69.6,-2.35,cheap
2,5200,193400,14.8,2.14,rich
2,5300,193400,14.3,2.79,rich
2,5400,193400,-2.9,2.65,cheap
2,5500,193400,2.8,2.93,rich
2,6500,193400,-13.2,-2.73,cheap
2,6000,194700,11.1,2.03,rich
2,5500,196900,-3.9,2.17,cheap
2,6000,196900,11.1,2.03,rich
2,5500,199400,-4.6,2.08,cheap
2,6000,199400,11.9,2.15,rich
2,5500,201600,-3.2,2.24,cheap
2,6000,201600,11.3,2.05,rich
2,5500,202500,-3.9,2.16,cheap
2,6000,202500,11.9,2.14,rich
2,4000,203500,28.9,2.49,rich
2,4500,203500,-69.5,-2.34,cheap
2,5200,203500,14.2,2.06,rich
2,5300,203500,14.3,2.78,rich
2,5400,203500,-2.3,2.72,cheap
2,5500,203500,3.3,2.99,rich
2,6500,203500,-13.4,-2.75,cheap
2,5000,204800,-16.5,-2.63,cheap
2,5500,204800,-0.5,2.55,cheap
2,6000,204800,16.2,2.79,rich
2,5500,206100,-4.1,2.14,cheap
2,5500,207000,-4.5,2.09,cheap
2,6000,207000,11.3,2.06,rich
2,5000,208100,-15.1,-2.49,cheap
2,5500,208100,0.9,2.72,rich
2,6000,208100,15.2,2.63,rich
2,5500,210200,-4.6,2.08,cheap
2,6000,210200,11.1,2.03,rich
2,5500,210400,-3.2,2.24,cheap
2,5500,210800,-5.3,2.0,cheap
2,5000,211300,-14.7,-2.45,cheap
2,5500,211300,-2.0,2.37,cheap
2,6000,211300,16.1,2.77,rich
2,5000,212200,-16.2,-2.6,cheap
2,5500,212200,-1.9,2.39,cheap
2,6000,212200,16.9,2.89,rich
2,5500,216500,-5.2,2.01,cheap
2,6000,216500,11.8,2.13,rich
2,5500,219500,-5.0,2.04,cheap
2,6000,219500,11.0,2.01,rich
2,5500,221300,-2.4,2.34,cheap
2,6000,221300,11.8,2.14,rich
2,5500,223300,-4.1,2.14,cheap
2,6000,223300,11.2,2.04,rich
2,5500,224400,-4.0,2.16,cheap
2,6000,224400,12.1,2.17,rich
2,6000,224600,11.1,2.02,rich
2,5500,224900,-4.4,2.11,cheap
2,5000,229200,-11.4,-2.13,cheap
2,5500,229200,-4.0,2.15,cheap
2,6000,229200,11.2,2.04,rich
2,5500,230600,-4.4,2.11,cheap
2,5000,233200,-10.1,-2.01,cheap
2,5500,233200,-5.1,2.02,cheap
2,6000,233200,11.9,2.14,rich
2,5500,236800,-4.9,2.05,cheap
2,5500,237600,-3.3,2.24,cheap
2,6000,237600,11.0,2.01,rich
2,5500,237700,-3.5,2.21,cheap
2,5500,240600,-4.9,2.05,cheap
2,5500,241500,-4.6,2.08,cheap
2,5000,241800,-11.1,-2.1,cheap
2,5500,241800,-4.1,2.14,cheap
2,5500,242000,-4.6,2.08,cheap
2,5500,242100,-4.6,2.08,cheap
2,5000,243800,-10.3,-2.03,cheap
2,5500,243800,-4.6,2.08,cheap
2,5500,244200,-4.8,2.06,cheap
2,5000,244300,-10.3,-2.03,cheap
2,5500,244300,-4.6,2.08,cheap
2,5500,244800,-4.4,2.1,cheap
2,5500,245100,-4.4,2.1,cheap
2,5500,246100,-4.6,2.08,cheap
2,5500,246300,-4.9,2.05,cheap
2,5500,246600,-4.2,2.12,cheap
2,5000,247300,-14.0,-2.38,cheap
2,5500,247300,-0.3,2.58,cheap
2,6000,247300,15.1,2.62,rich
2,5000,248600,-13.9,-2.37,cheap
2,5500,248600,0.1,2.62,rich
2,6000,248600,15.2,2.64,rich
2,5500,248700,-3.7,2.19,cheap
2,5500,248800,-2.4,2.33,cheap
2,5500,249600,-5.1,2.03,cheap
2,5000,250400,-10.3,-2.02,cheap
2,5500,250400,-4.0,2.15,cheap
2,6000,250400,11.0,2.01,rich
2,5500,250500,-5.1,2.03,cheap
2,5500,250600,-5.1,2.03,cheap
2,5000,250700,-17.5,-2.73,cheap
2,5400,250700,-6.9,2.13,cheap
2,5500,250700,0.8,2.7,rich
2,6000,250700,15.3,2.65,rich
2,5500,252900,-4.0,2.16,cheap
2,5000,253900,-15.4,-2.52,cheap
2,5100,253900,-15.2,-2.02,cheap
2,5500,253900,-1.4,2.45,cheap
2,6000,253900,16.2,2.78,rich
2,5000,256600,-10.3,-2.02,cheap
2,5500,256600,-3.8,2.17,cheap
2,5500,257500,-2.9,2.28,cheap
2,5500,257600,-3.2,2.24,cheap
2,5500,258000,-3.0,2.26,cheap
2,6000,258000,11.1,2.03,rich
2,5500,258600,-4.6,2.08,cheap
2,5500,260300,-5.1,2.03,cheap
2,5500,260900,-3.9,2.16,cheap
2,5500,261200,-4.6,2.08,cheap
2,5500,261300,-3.8,2.17,cheap
2,5500,261400,-4.6,2.08,cheap
2,5500,261500,-3.8,2.17,cheap
2,5500,262000,-2.9,2.28,cheap
2,4000,262500,30.2,2.55,rich
2,4500,262500,-73.0,-2.41,cheap
2,5200,262500,14.8,2.14,rich
2,5300,262500,13.0,2.61,rich
2,5400,262500,-0.5,2.96,cheap
2,5500,262500,4.9,3.17,rich
2,6500,262500,-13.1,-2.72,cheap
2,5500,262600,-2.4,2.33,cheap
2,5500,263200,-2.7,2.3,cheap
2,4000,265000,30.5,2.56,rich
2,4500,265000,-73.3,-2.42,cheap
2,5200,265000,15.0,2.18,rich
2,5300,265000,14.3,2.79,rich
2,5400,265000,0.8,3.12,rich
2,5500,265000,3.2,2.98,rich
2,6500,265000,-13.1,-2.72,cheap
2,5000,265500,-16.2,-2.6,cheap
2,5100,265500,-17.3,-2.26,cheap
2,5400,265500,-7.6,2.06,cheap
2,5500,265500,1.1,2.73,rich
2,6000,265500,14.0,2.45,rich
2,5000,265700,-18.3,-2.8,cheap
2,5400,265700,-6.8,2.15,cheap
2,5500,265700,0.7,2.69,rich
2,6000,265700,14.4,2.52,rich
2,4000,266600,30.6,2.57,rich
2,4500,266600,-73.7,-2.43,cheap
2,5200,266600,15.4,2.22,rich
2,5300,266600,14.0,2.75,rich
2,5400,266600,-0.1,3.0,cheap
2,5500,266600,4.6,3.14,rich
2,6500,266600,-13.1,-2.72,cheap
2,5000,266700,-16.7,-2.65,cheap
2,5400,266700,-7.5,2.06,cheap
2,5500,266700,0.2,2.63,rich
2,6000,266700,14.7,2.56,rich
2,4000,267700,30.4,2.56,rich
2,4500,267700,-73.0,-2.41,cheap
2,5200,267700,14.6,2.12,rich
2,5300,267700,14.5,2.82,rich
2,5400,267700,0.3,3.06,rich
2,5500,267700,3.9,3.05,rich
2,6500,267700,-13.2,-2.73,cheap
2,4000,268100,30.2,2.55,rich
2,4500,268100,-73.0,-2.41,cheap
2,5200,268100,14.7,2.13,rich
2,5300,268100,13.5,2.68,rich
2,5400,268100,-0.7,2.94,cheap
2,5500,268100,4.9,3.17,rich
2,6500,268100,-13.1,-2.72,cheap
2,5500,269000,-4.0,2.15,cheap
2,5500,270700,-3.9,2.16,cheap
2,5500,271000,-4.9,2.04,cheap
2,5000,275900,-10.2,-2.01,cheap
2,5500,275900,-3.8,2.17,cheap
2,5500,277200,-3.8,2.17,cheap
2,5500,278100,-2.2,2.36,cheap
2,5500,278200,-2.9,2.28,cheap
2,5000,279300,-15.8,-2.57,cheap
2,5100,279300,-15.2,-2.02,cheap
2,5400,279300,-7.8,2.02,cheap
2,5500,279300,2.1,2.85,rich
2,6000,279300,15.3,2.64,rich
2,5500,279500,-2.6,2.32,cheap
2,6000,279500,11.2,2.04,rich
2,5500,279700,-2.9,2.28,cheap
2,5500,281400,-2.0,2.38,cheap
2,5500,283100,-3.8,2.17,cheap
2,5000,284300,-11.0,-2.09,cheap
2,5500,284300,-3.2,2.24,cheap
2,5500,284800,-3.6,2.2,cheap
2,5500,285800,-3.0,2.27,cheap
2,5500,286300,-3.0,2.27,cheap
2,5500,287000,-4.3,2.11,cheap
2,5500,288000,-4.9,2.04,cheap
2,5500,288200,-4.4,2.1,cheap
2,5500,288400,-3.1,2.25,cheap
2,5500,289900,-4.0,2.16,cheap
2,5500,290200,-3.8,2.17,cheap
2,5500,290900,-3.8,2.17,cheap
2,5500,292400,-3.8,2.17,cheap
2,5500,292700,-3.3,2.23,cheap
2,5000,293200,-17.3,-2.71,cheap
2,5500,293200,2.7,2.92,rich
2,6000,293200,16.2,2.78,rich
2,5500,293700,-2.7,2.3,cheap
2,5500,293900,-3.3,2.23,cheap
2,5500,297000,-1.6,2.43,cheap
2,6000,297000,11.4,2.07,rich
2,5500,297100,-2.6,2.31,cheap
2,5500,297300,-3.1,2.25,cheap
2,5500,297500,-1.8,2.4,cheap
2,5500,299400,-3.5,2.21,cheap
2,5500,299800,-2.9,2.28,cheap
2,6000,299800,11.2,2.04,rich
2,5500,300500,-1.1,2.48,cheap
2,6000,300500,11.6,2.09,rich
2,5500,301700,-1.8,2.4,cheap
2,6000,302900,11.5,2.08,rich
2,5500,303700,-0.3,2.58,cheap
2,5000,304200,-15.3,-2.51,cheap
2,5100,304200,-16.3,-2.14,cheap
2,5500,304200,1.8,2.82,rich
2,6000,304200,15.5,2.68,rich
2,5500,305600,-2.6,2.31,cheap
2,5500,305900,-3.6,2.2,cheap
2,5500,306400,-1.6,2.43,cheap
2,5500,306700,-3.6,2.2,cheap
2,5500,312300,-1.5,2.43,cheap
2,6000,312300,11.6,2.11,rich
2,5500,312800,-3.1,2.25,cheap
2,5500,314000,-1.1,2.48,cheap
2,5500,314100,-2.5,2.32,cheap
2,5500,315000,-3.6,2.2,cheap
2,5500,315600,-4.2,2.13,cheap
2,5500,315900,-4.2,2.13,cheap
2,5500,316300,-4.0,2.15,cheap
2,5500,316800,-4.3,2.12,cheap
2,6000,316800,11.1,2.02,rich
2,5500,317200,-4.4,2.1,cheap
2,5500,317300,-4.5,2.09,cheap
2,5500,318800,-1.1,2.49,cheap
2,5500,319000,-3.4,2.22,cheap
2,5500,322500,-4.0,2.15,cheap
2,5500,323500,-1.9,2.39,cheap
2,6000,323500,11.5,2.09,rich
2,5500,325000,-2.4,2.33,cheap
2,4000,326400,29.3,2.51,rich
2,4500,326400,-70.7,-2.37,cheap
2,5200,326400,15.1,2.18,rich
2,5300,326400,12.1,2.48,rich
2,5400,326400,-2.1,2.76,cheap
2,5500,326400,3.8,3.05,rich
2,6500,326400,-13.8,-2.78,cheap
2,4000,326600,29.3,2.51,rich
2,4500,326600,-70.5,-2.36,cheap
2,5200,326600,14.5,2.11,rich
2,5300,326600,13.1,2.62,rich
2,5400,326600,-2.9,2.65,cheap
2,5500,326600,4.3,3.11,rich
2,6500,326600,-13.9,-2.79,cheap
2,5500,328200,-2.5,2.33,cheap
2,5500,329000,-2.5,2.32,cheap
2,6000,329000,11.5,2.08,rich
2,5500,330400,-2.5,2.32,cheap
2,6000,330400,11.3,2.06,rich
2,5500,332000,-2.5,2.33,cheap
2,5500,333200,-2.3,2.35,cheap
2,5500,333800,-2.5,2.33,cheap
2,5500,335500,-2.5,2.33,cheap
2,5500,336900,-2.1,2.36,cheap
2,5500,337000,-2.4,2.33,cheap
2,6000,337000,11.5,2.09,rich
2,5000,337700,-16.3,-2.61,cheap
2,5100,337700,-15.4,-2.04,cheap
2,5500,337700,1.8,2.82,rich
2,6000,337700,16.0,2.75,rich
2,5500,342600,-4.8,2.05,cheap
2,5500,342700,-5.0,2.03,cheap
2,5500,344000,-2.9,2.27,cheap
2,4000,350000,29.5,2.52,rich
2,4500,350000,-70.9,-2.37,cheap
2,5200,350000,15.4,2.23,rich
2,5300,350000,12.4,2.52,rich
2,5400,350000,-1.8,2.79,cheap
2,5500,350000,4.1,3.08,rich
2,6500,350000,-13.9,-2.8,cheap
2,6000,351300,13.0,2.31,rich
2,4000,351600,29.1,2.5,rich
2,4500,351600,-69.8,-2.35,cheap
2,5200,351600,15.6,2.26,rich
2,5300,351600,13.6,2.69,rich
2,5400,351600,-1.4,2.85,cheap
2,5500,351600,1.3,2.76,rich
2,6500,351600,-14.0,-2.8,cheap
2,5500,354900,-2.5,2.32,cheap
2,6000,354900,11.4,2.07,rich
2,5000,355900,-10.2,-2.01,cheap
2,5500,355900,-3.7,2.18,cheap
2,6000,355900,12.0,2.16,rich
2,5500,360600,-4.9,2.05,cheap
2,6000,364700,13.5,2.39,rich
2,6000,364900,12.9,2.3,rich
2,6000,365400,12.4,2.21,rich
2,5500,365500,-3.4,2.22,cheap
2,6000,365500,13.0,2.31,rich
2,4000,365700,29.2,2.51,rich
2,4500,365700,-70.2,-2.36,cheap
2,5200,365700,15.2,2.19,rich
2,5300,365700,14.2,2.78,rich
2,5400,365700,-0.7,2.93,cheap
2,5500,365700,0.7,2.69,rich
2,6500,365700,-14.0,-2.8,cheap
2,5000,366200,-14.7,-2.45,cheap
2,5100,366200,-15.7,-2.07,cheap
2,5400,366200,-7.5,2.06,cheap
2,5500,366200,-1.3,2.46,cheap
2,6000,366200,17.9,3.03,rich
2,4000,368700,29.2,2.51,rich
2,4500,368700,-70.3,-2.36,cheap
2,5200,368700,15.2,2.19,rich
2,5300,368700,14.2,2.78,rich
2,5400,368700,-0.7,2.93,cheap
2,5500,368700,0.7,2.69,rich
2,6500,368700,-14.0,-2.8,cheap
2,5000,368900,-11.5,-2.15,cheap
2,5100,368900,-16.6,-2.18,cheap
2,5500,368900,-2.9,2.28,cheap
