leader,follower,lag1_mu,lags1_5_avg,lags1_20_avg,lags1_50_avg,n_shocks,abs_5
SLEEP_POD,SNACKPACK,-0.10498096077766757,-0.018420379316949568,-0.0003272991346201088,0.0010653471191129904,717,0.018420379316949568
UV_VISOR,GALAXY_SOUNDS,-0.08211879764996101,-0.0182458831189256,-0.004337437228238192,0.005128149588370538,675,0.0182458831189256
TRANSLATOR,PANEL,-0.0022309767400810684,-0.018034585629077438,0.00499145693411151,-0.0019259674638621186,708,0.018034585629077438
SNACKPACK,PEBBLES,0.011685407328976424,-0.017513556888036637,-0.006895599396227958,-0.002103235802696298,946,0.017513556888036637
PANEL,OXYGEN_SHAKE,-0.030627900515455154,-0.017179244693820855,-0.0031907742672283245,0.0004039371476218168,665,0.017179244693820855
TRANSLATOR,OXYGEN_SHAKE,0.008651391488317069,0.01703432954267258,0.008586371469088399,0.004418779689566679,708,0.01703432954267258
SLEEP_POD,MICROCHIP,-0.07053666248156339,-0.01655578197886165,-0.016343305991515712,-0.00875431303619452,717,0.01655578197886165
SLEEP_POD,OXYGEN_SHAKE,-0.07933183397531532,-0.016154812531210486,0.01597194830411766,0.013586205230276567,717,0.016154812531210486
ROBOT,PANEL,-0.03811098878521776,-0.015309060148476421,-0.0007879686030790773,0.00716981282438957,550,0.015309060148476421
UV_VISOR,MICROCHIP,-0.00682625491536576,-0.015275529989041017,-0.014584851300024317,-0.010415611944539358,675,0.015275529989041017
UV_VISOR,OXYGEN_SHAKE,-0.048463482888030825,-0.015129574921581115,-0.00610763861646306,-0.0013030533510570055,675,0.015129574921581115
UV_VISOR,SLEEP_POD,-0.056061045991095834,0.01491438176131552,0.0053253647304470275,0.005346246976099093,675,0.01491438176131552
ROBOT,SLEEP_POD,-0.00600831481397445,-0.013807805492889897,-0.0065926736835679525,-0.0014632738192765654,550,0.013807805492889897
PANEL,GALAXY_SOUNDS,-0.05686506837711684,-0.013257335859800878,0.0047798974848007,0.0035628368868290145,665,0.013257335859800878
ROBOT,PEBBLES,-0.010643455957097845,0.013072827861264796,0.0019194619283865442,-0.004327990524492544,550,0.013072827861264796
ROBOT,MICROCHIP,0.025860026957332593,0.012440377879276352,0.0031907880504891744,-0.0027586433424342848,550,0.012440377879276352
MICROCHIP,UV_VISOR,-0.021509981837063846,0.011940385602376733,0.006826258998688958,0.0023542300647827995,684,0.011940385602376733
TRANSLATOR,MICROCHIP,-0.06014743555648709,-0.011828138660411179,-0.005895282591088355,-0.00143490442206795,708,0.011828138660411179
ROBOT,GALAXY_SOUNDS,-0.0453545776999202,-0.01182724212177974,0.0003802933626872064,0.0007350442178843508,550,0.01182724212177974
GALAXY_SOUNDS,PANEL,-0.01908296431004183,-0.011238270940528965,0.004224487209009616,0.007411853656393746,657,0.011238270940528965
MICROCHIP,SNACKPACK,0.04032992562802981,0.011189465116585893,-3.11608802803516e-05,0.0004552885633701344,684,0.011189465116585893
PANEL,MICROCHIP,-0.0011188215789762078,-0.011009061972687365,-0.006897383085470575,-0.013926888266832057,665,0.011009061972687365
ROBOT,OXYGEN_SHAKE,0.0048393020280336815,0.010991965675560392,0.019895472321261706,0.019120310968811935,550,0.010991965675560392
OXYGEN_SHAKE,ROBOT,-0.062019761066142466,-0.010163986793546362,-0.011960070426941468,-0.009926501642750834,580,0.010163986793546362
OXYGEN_SHAKE,PEBBLES,-0.025248438003105795,-0.009537298159954945,-0.0012235690942558313,-0.010103186623300125,580,0.009537298159954945
MICROCHIP,ROBOT,-0.035550227772960484,0.009425406256686553,0.006293172979647853,0.0035045919668748675,684,0.009425406256686553
SLEEP_POD,PANEL,-0.10271700280918994,0.009425385995952976,0.0013399134553011445,0.003019935473332491,717,0.009425385995952976
GALAXY_SOUNDS,PEBBLES,0.08036966625341559,-0.009111676072274116,-0.005912124650377678,-0.003107174518093428,657,0.009111676072274116
GALAXY_SOUNDS,ROBOT,-0.05079791778093017,-0.008914191672625619,-0.005376393587895463,-0.004641785249444425,657,0.008914191672625619
PEBBLES,UV_VISOR,0.00818602558467046,0.008545082960052467,-0.006484447817068748,-0.0007870467172639181,687,0.008545082960052467
GALAXY_SOUNDS,TRANSLATOR,-0.017102154468612872,-0.00852796409671561,0.003829198000573711,-0.005197295499537473,657,0.00852796409671561
MICROCHIP,SLEEP_POD,0.05343612751643867,0.008319964173471337,-0.0015302300377124972,0.006313266216306472,684,0.008319964173471337
SLEEP_POD,PEBBLES,-0.008719833021790248,0.008225724211280703,0.011165416821429276,0.000262038738558973,717,0.008225724211280703
SLEEP_POD,ROBOT,0.03290974118052515,0.007763457353689893,-0.00966889473112721,-0.0036950725249510607,717,0.007763457353689893
UV_VISOR,ROBOT,0.05435904602925083,-0.007523887967966866,-0.0006926445648916928,-0.005577361599818843,675,0.007523887967966866
UV_VISOR,TRANSLATOR,0.031414145329071996,0.007055210760094273,-0.0029313387992732256,-0.007638779905137238,675,0.007055210760094273
PEBBLES,ROBOT,0.019074070260655464,0.007038481463595888,-0.00011434755712941038,0.0007272988966312669,687,0.007038481463595888
PEBBLES,OXYGEN_SHAKE,-0.030740747835632784,0.005778022585985432,0.006349755830046424,0.0021750006249286846,687,0.005778022585985432
PANEL,TRANSLATOR,-0.022353395525769894,-0.005057629940251311,-0.0024988166084170503,-0.0022947275023405124,665,0.005057629940251311
PEBBLES,TRANSLATOR,0.07369825285744637,0.004936056500722079,-0.012339009819536274,0.0002858865142997623,687,0.004936056500722079
PEBBLES,MICROCHIP,-0.014712124068195458,-0.004769788449117044,-0.0035722596460026736,-0.012673140528089169,687,0.004769788449117044
ROBOT,UV_VISOR,0.0037431053919810458,-0.004747637897457682,0.0023208094928667067,-0.005605257378002417,550,0.004747637897457682
OXYGEN_SHAKE,SLEEP_POD,-0.05195778811370819,0.0039887799073423606,0.0029328232756896918,0.0038761935235943697,580,0.0039887799073423606
SLEEP_POD,GALAXY_SOUNDS,-0.06776370692628421,-0.003945203194641415,-0.0002699699510620546,0.003464023610684998,717,0.003945203194641415
MICROCHIP,GALAXY_SOUNDS,0.00708334961530507,-0.003819793363492502,0.011954739787728453,0.010580701223536701,684,0.003819793363492502
TRANSLATOR,UV_VISOR,-0.023520945753876338,0.0037877169477204945,0.0015967399532102323,-0.0004617686533523827,708,0.0037877169477204945
PANEL,UV_VISOR,-0.01635879661526853,0.002925598220017366,0.0016620804220982145,0.002093998579548087,665,0.002925598220017366
TRANSLATOR,ROBOT,0.007582593886464605,0.002430855121222152,0.003432769568121169,0.00021911957514891446,708,0.002430855121222152
PEBBLES,PANEL,-0.004833112807038096,-0.0024242253362923025,-0.0021204865743436946,0.005858796133217746,687,0.0024242253362923025
GALAXY_SOUNDS,MICROCHIP,0.025775160498935298,-0.002006952720539793,0.0024861845440755127,-0.0029408320207631373,657,0.002006952720539793
GALAXY_SOUNDS,UV_VISOR,-0.05270196143327425,-0.0017652455943767478,0.002597420947313772,0.004563356205318551,657,0.0017652455943767478
UV_VISOR,PEBBLES,-0.00592274373775929,-0.0015674252920851311,-0.003494230312772545,-0.005620091120522042,675,0.0015674252920851311
PEBBLES,GALAXY_SOUNDS,0.031012444456345458,-0.00142839643352174,-0.011582717002575026,1.308684468154825e-05,687,0.00142839643352174
SNACKPACK,MICROCHIP,0.01046083310881427,0.0014060180646926102,0.013385526252509387,-0.002307383810181576,946,0.0014060180646926102
UV_VISOR,PANEL,-0.019375734602405794,-0.00035543388216427164,-0.003765482598363716,-0.001997728318978124,675,0.00035543388216427164
SLEEP_POD,TRANSLATOR,-0.025845715047449945,-0.00013933883349453446,-0.0017853721602144313,-0.0028089062746664635,717,0.00013933883349453446
TRANSLATOR,GALAXY_SOUNDS,-0.09269165608214437,-6.555331229936047e-05,-4.084138726354499e-05,0.00467416157405655,708,6.555331229936047e-05
